38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1997,1998,1999
,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MALUKU,-,11.28,8.08,12.63,11.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.01,4.09,2.94,2.06,2.37,3.07,3.28,2.99,4.03,5.55,5.61,3.7,4.7
MALUKU UTARA,-,9.32,15.25,7.5,7.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,3.62,5.82,6.01,6.21,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.09,1.49,1.8,2.46,3.11,2.26,2.14,2.04,3.09,4.03,3.35,3.22,6.42
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,6.08,8.1,9.06,9.67,9.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.62,2.85,2.81,2.55,2.62,2.74,2.79,4.36,4.87,4.69,5.46,6.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,"Data 2011-2013 menggunakan Backcast dari Penimbang Proyeksi Komponen                    <br />Data 2018-2020 menggunakan Backcast dari Penimbang berbasis SUPAS 2015                    <br />1986-1998, penghitungan tanpa data Provinsi Timor Timor                    <br />Pada tahun 1995, Sakernas tidak dilaksanakan                    <br />Pada tahun 2000, tanpa Maluku                    <br />Sumber: Survei Angkatan Kerja Nasional (Sakernas)                    <br /><br /><br /><br /><br />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
